"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2014","414.46","413.43","414.63","413.39","-","0.24%"
"Apr 01, 2014","413.45","410.83","413.47","410.62","-","0.59%"
"Mar 31, 2014","411.02","407.98","411.41","407.98","-","0.75%"
"Mar 28, 2014","407.95","405.69","409.17","405.55","-","0.57%"
"Mar 27, 2014","405.62","405.75","406.41","404.34","-","0.01%"
"Mar 26, 2014","405.58","405.83","408.67","405.58","-","0.03%"
"Mar 25, 2014","405.45","403.47","406.42","403.14","-","0.58%"
"Mar 24, 2014","403.12","404.42","405.94","402.00","-","-0.31%"
"Mar 21, 2014","404.36","404.36","406.64","404.17","-","-0.00%"
"Mar 20, 2014","404.38","404.44","404.56","401.22","-","-0.31%"
"Mar 19, 2014","405.63","407.40","407.67","403.11","-","-0.42%"
"Mar 18, 2014","407.35","404.32","407.54","404.14","-","0.73%"
"Mar 17, 2014","404.41","401.28","405.06","400.88","-","0.76%"
"Mar 14, 2014","401.35","403.47","403.48","400.69","-","-0.63%"
"Mar 13, 2014","403.91","407.13","408.43","403.00","-","-0.76%"
"Mar 12, 2014","407.02","408.80","408.80","404.78","-","-0.48%"
"Mar 11, 2014","408.97","409.87","411.27","408.46","-","-0.22%"
"Mar 10, 2014","409.88","411.44","411.44","408.31","-","-0.37%"
"Mar 07, 2014","411.41","412.75","413.31","410.70","-","-0.30%"
"Mar 06, 2014","412.65","410.66","413.56","410.59","-","0.49%"
"Mar 05, 2014","410.62","410.21","411.12","410.12","-","0.10%"
"Mar 04, 2014","410.22","404.70","410.48","404.44","-","1.27%"
"Mar 03, 2014","405.06","410.07","410.08","403.60","-","-1.24%"
"Feb 28, 2014","410.13","408.68","411.16","408.31","-","0.41%"
"Feb 27, 2014","408.45","407.41","408.73","406.14","-","0.27%"
"Feb 26, 2014","407.37","408.07","408.38","406.77","-","-0.24%"
"Feb 25, 2014","408.34","408.33","409.52","407.45","-","0.03%"
"Feb 24, 2014","408.22","406.37","409.66","405.72","-","0.45%"
"Feb 21, 2014","406.40","405.22","407.48","405.21","-","0.30%"
"Feb 20, 2014","405.18","404.93","405.53","402.82","-","-0.04%"
"Feb 19, 2014","405.34","406.53","407.38","404.78","-","-0.30%"
"Feb 18, 2014","406.54","405.26","406.97","405.20","-","0.32%"
"Feb 17, 2014","405.23","404.45","405.48","404.32","-","0.26%"
"Feb 14, 2014","404.18","402.29","404.66","402.18","-","0.50%"
"Feb 13, 2014","402.16","401.29","402.37","398.95","-","0.22%"
"Feb 12, 2014","401.27","399.97","402.36","399.96","-","0.27%"
