"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2015","1,021.69","1,012.60","1,024.58","1,012.44","-","0.95%"
"Oct 06, 2015","1,012.07","1,009.35","1,015.09","1,009.31","-","0.26%"
"Oct 05, 2015","1,009.48","989.76","1,009.70","989.76","-","1.91%"
"Oct 02, 2015","990.52","978.39","990.52","971.32","-","1.17%"
"Oct 01, 2015","979.11","975.31","982.05","972.51","-","0.40%"
"Sep 30, 2015","975.19","957.02","975.45","956.87","-","1.96%"
"Sep 29, 2015","956.48","962.69","962.73","953.95","-","-0.66%"
"Sep 28, 2015","962.88","983.20","983.55","962.41","-","-2.03%"
"Sep 25, 2015","982.86","977.31","989.29","976.31","-","0.38%"
"Sep 24, 2015","979.14","984.75","984.87","971.70","-","-0.59%"
"Sep 23, 2015","984.96","988.70","990.36","983.81","-","-0.43%"
"Sep 22, 2015","989.17","1,005.48","1,006.37","985.55","-","-1.62%"
"Sep 21, 2015","1,005.47","1,005.72","1,010.61","1,003.32","-","-0.29%"
"Sep 18, 2015","1,008.38","1,021.47","1,022.06","1,005.05","-","-1.12%"
"Sep 17, 2015","1,019.80","1,020.10","1,030.80","1,019.49","-","0.06%"
"Sep 16, 2015","1,019.19","1,007.63","1,019.42","1,007.52","-","1.25%"
"Sep 15, 2015","1,006.62","1,000.21","1,007.85","998.55","-","0.73%"
"Sep 14, 2015","999.34","1,004.34","1,005.68","998.15","-","-0.32%"
"Sep 11, 2015","1,002.52","1,002.34","1,003.89","997.06","-","0.11%"
"Sep 10, 2015","1,001.46","1,003.12","1,006.35","997.07","-","-0.19%"
"Sep 09, 2015","1,003.39","1,001.40","1,018.00","1,001.40","-","0.28%"
"Sep 08, 2015","1,000.58","983.81","1,001.32","983.51","-","1.72%"
"Sep 07, 2015","983.63","982.87","985.48","981.97","-","0.03%"
"Sep 04, 2015","983.33","1,000.59","1,000.59","981.00","-","-1.61%"
"Sep 03, 2015","999.44","995.70","1,006.80","995.06","-","0.46%"
"Sep 02, 2015","994.91","986.47","995.07","984.91","-","0.75%"
"Sep 01, 2015","987.52","1,014.31","1,014.50","985.20","-","-2.62%"
"Aug 31, 2015","1,014.06","1,020.05","1,020.44","1,011.43","-","-0.66%"
"Aug 28, 2015","1,020.76","1,016.11","1,021.10","1,015.89","-","0.56%"
"Aug 27, 2015","1,015.09","992.60","1,016.42","992.60","-","2.17%"
"Aug 26, 2015","993.56","978.31","993.56","974.43","-","1.80%"
"Aug 25, 2015","975.96","976.66","997.59","972.71","-","-0.11%"
"Aug 24, 2015","977.04","1,015.94","1,015.94","967.07","-","-3.85%"
"Aug 21, 2015","1,016.12","1,043.43","1,043.43","1,016.12","-","-2.58%"
"Aug 20, 2015","1,042.98","1,061.87","1,062.03","1,042.98","-","-1.64%"
